Source,Target
Tragedy,Major
Tragedy,Major
Tragedy,Major
Tragedy,Major
Tragedy,Major
Tragedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Major
Tragedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Tragedy,Minor
Tragedy,Major
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Tragedy,Minor
Tragedy,Major
Comedy,Major
Comedy,Major
Comedy,Minor
Comedy,Major
Comedy,Minor
Comedy,Minor
Tragedy,Major
Tragedy,Minor
Comedy,Major
Comedy,Major
Comedy,Minor
Tragedy,Major
Tragedy,Major
Tragedy,Minor
Tragedy,Minor
Comedy,Minor
Tragedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Major
Comedy,Minor
Comedy,Minor
Comedy,Major
Comedy,Minor
Comedy,Major
Tragedy,Minor
Comedy,Major
Comedy,Major
Tragedy,Major
Comedy,Major
Comedy,Major
Tragedy,Minor
Tragedy,Minor
Tragedy,Major
Tragedy,Major
Tragedy,Major
Comedy,Major
Comedy,Major
Comedy,Minor
Comedy,Minor
Tragedy,Major
Tragedy,Minor
Tragedy,Major
Tragedy,Major
Comedy,Major
Comedy,Minor
Comedy,Minor
Tragedy,Minor
Comedy,Major
Comedy,Major
Tragedy,Major
Tragedy,Major
Tragedy,Minor
Tragedy,Major
Tragedy,Major
Tragedy,Minor
Tragedy,Major
Tragedy,Major
Tragedy,Minor
Comedy,Major
Tragedy,Minor
Comedy,Major
Comedy,Minor
Comedy,Major
Comedy,Major
Comedy,Minor
Comedy,Minor
Comedy,Major
Tragedy,Major
Tragedy,Major
Tragedy,Major
Tragedy,Major
Tragedy,Major
Tragedy,Major
Tragedy,Major
Tragedy,Major
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Major
Comedy,Minor
Comedy,Major
Comedy,Major
Comedy,Major
Comedy,Major
Tragedy,Major
Tragedy,Minor
Tragedy,Minor
Tragedy,Major
Comedy,Major
Tragedy,Minor
Tragedy,Major
Tragedy,Minor
Tragedy,Minor
Tragedy,Major
Tragedy,Major
Comedy,Minor
Comedy,Minor
Comedy,Major
Comedy,Minor
Comedy,Major
Tragedy,Minor
Tragedy,Minor
Comedy,Major
Comedy,Major
Comedy,Major
Comedy,Major
Comedy,Minor
Comedy,Minor
Tragedy,Minor
Tragedy,Major
Tragedy,Minor
Tragedy,Major
Tragedy,Minor
Tragedy,Major
Tragedy,Minor
Tragedy,Minor
Tragedy,Major
Tragedy,Major
Tragedy,Major
Comedy,Major
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Major
Comedy,Minor
Comedy,Major
Comedy,Minor
Comedy,Major
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Major
Comedy,Major
Comedy,Major
Comedy,Major
Comedy,Major
Comedy,Minor
Comedy,Minor
Comedy,Major
Comedy,Major
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Tragedy,Major
Tragedy,Major
Tragedy,Minor
Tragedy,Minor
Tragedy,Major
Tragedy,Major
Tragedy,Minor
Tragedy,Major
Tragedy,Minor
Tragedy,Major
Tragedy,Major
Tragedy,Major
Tragedy,Major
Tragedy,Major
Tragedy,Minor
Tragedy,Minor
Tragedy,Minor
Tragedy,Minor
Comedy,Major
Comedy,Major
Comedy,Major
Comedy,Minor
Comedy,Minor
Comedy,Major
Tragedy,Major
Tragedy,Major
Tragedy,Minor
Tragedy,Minor
Tragedy,Major
Tragedy,Major
Tragedy,Minor
Comedy,Minor
Tragedy,Minor
Tragedy,Major
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Major
Comedy,Major
Comedy,Minor
Comedy,Minor
Tragedy,Minor
Comedy,Major
Comedy,Minor
Tragedy,Minor
Comedy,Major
Comedy,Minor
Tragedy,Major
Comedy,Major
Comedy,Major
Comedy,Minor
Comedy,Major
Comedy,Minor
Comedy,Major
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Tragedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Major
Comedy,Minor
Comedy,Major
Tragedy,Minor
Tragedy,Minor
Comedy,Minor
Comedy,Major
Tragedy,Minor
Tragedy,Minor
Comedy,Minor
Tragedy,Minor
Comedy,Minor
Comedy,Major
Comedy,Minor
Tragedy,Minor
Tragedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Major
Tragedy,Minor
Comedy,Minor
Tragedy,Major
Tragedy,Minor
Comedy,Major
Tragedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Major
Comedy,Minor
Tragedy,Major
Comedy,Minor
Comedy,Major
Comedy,Minor
Tragedy,Major
Comedy,Major
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Major
Comedy,Major
Comedy,Minor
Comedy,Major
Tragedy,Minor
Comedy,Minor
Comedy,Minor
Tragedy,Major
Comedy,Major
Comedy,Major
Tragedy,Major
Tragedy,Minor
Tragedy,Minor
Comedy,Major
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Tragedy,Minor
Tragedy,Major
Comedy,Minor
Tragedy,Major
Tragedy,Minor
Tragedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Major
Tragedy,Major
Tragedy,Minor
Tragedy,Major
Comedy,Major
Tragedy,Major
Tragedy,Major
Tragedy,Minor
Tragedy,Minor
Tragedy,Minor
Tragedy,Minor
Tragedy,Minor
Tragedy,Minor
Tragedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Major
Tragedy,Minor
Tragedy,Minor
Tragedy,Minor
Tragedy,Major
Tragedy,Minor
Tragedy,Minor
Tragedy,Minor
Tragedy,Minor
Tragedy,Major
Tragedy,Minor
Tragedy,Major
Tragedy,Major
Tragedy,Major
Tragedy,Major
Tragedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Major
Comedy,Minor
Tragedy,Minor
Tragedy,Minor
Tragedy,Minor
Tragedy,Major
Tragedy,Minor
Tragedy,Major
Tragedy,Minor
Comedy,Minor
Tragedy,Minor
Comedy,Major
Comedy,Major
Tragedy,Minor
Tragedy,Major
Tragedy,Major
Tragedy,Major
Tragedy,Major
Tragedy,Minor
Tragedy,Minor
Comedy,Major
Comedy,Major
Comedy,Minor
Comedy,Major
Tragedy,Major
Tragedy,Minor
Tragedy,Minor
Comedy,Major
Tragedy,Major
Comedy,Minor
Comedy,Minor
Tragedy,Major
Comedy,Major
Comedy,Minor
Comedy,Minor
Comedy,Major
Comedy,Major
Comedy,Minor
Comedy,Minor
Comedy,Minor
Tragedy,Major
Tragedy,Minor
Tragedy,Major
Tragedy,Major
Tragedy,Major
Tragedy,Major
Tragedy,Major
Tragedy,Minor
Comedy,Major
Comedy,Major
Comedy,Minor
Tragedy,Major
Tragedy,Major
Tragedy,Minor
Tragedy,Major
Tragedy,Minor
Tragedy,Minor
Comedy,Major
Tragedy,Minor
Tragedy,Minor
Comedy,Major
Comedy,Major
Comedy,Minor
Comedy,Major
Comedy,Minor
Tragedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Major
Comedy,Minor
Comedy,Minor
Comedy,Major
Comedy,Major
Comedy,Major
Comedy,Minor
Tragedy,Major
Tragedy,Major
Comedy,Major
Tragedy,Major
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Tragedy,Minor
Comedy,Minor
Comedy,Minor
Tragedy,Major
Comedy,Minor
Comedy,Minor
Comedy,Minor
Tragedy,Minor
Comedy,Minor
Tragedy,Minor
Tragedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Major
Comedy,Minor
Comedy,Minor
Comedy,Major
Comedy,Minor
Tragedy,Minor
Comedy,Minor
Tragedy,Major
Comedy,Minor
Comedy,Major
Comedy,Major
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Tragedy,Minor
Tragedy,Major
Tragedy,Minor
Comedy,Minor
Tragedy,Major
Tragedy,Minor
Comedy,Minor
Tragedy,Major
Tragedy,Minor
Tragedy,Major
Tragedy,Minor
Tragedy,Major
Tragedy,Major
Tragedy,Major
Comedy,Major
Tragedy,Major
Tragedy,Major
Comedy,Minor
Comedy,Major
Comedy,Minor
Tragedy,Major
Tragedy,Minor
Tragedy,Minor
Comedy,Minor
Comedy,Major
Comedy,Major
Comedy,Minor
Comedy,Minor
Comedy,Minor
Tragedy,Major
Tragedy,Minor
Tragedy,Major
Tragedy,Minor
Tragedy,Minor
Tragedy,Major
Tragedy,Minor
Tragedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Tragedy,Major
Tragedy,Major
Tragedy,Major
Tragedy,Minor
Tragedy,Minor
Tragedy,Major
Tragedy,Minor
Tragedy,Major
Tragedy,Minor
Comedy,Minor
Comedy,Major
Tragedy,Major
Tragedy,Minor
Tragedy,Major
Tragedy,Minor
Tragedy,Minor
Comedy,Major
Comedy,Minor
Comedy,Major
Comedy,Minor
Tragedy,Major
Tragedy,Major
Tragedy,Minor
Tragedy,Minor
Comedy,Major
Tragedy,Major
Tragedy,Minor
Tragedy,Major
Comedy,Minor
Comedy,Major
Comedy,Minor
Tragedy,Major
Tragedy,Major
Tragedy,Minor
Tragedy,Major
Tragedy,Minor
Tragedy,Major
Tragedy,Major
Tragedy,Major
Tragedy,Minor
Tragedy,Major
Tragedy,Major
Tragedy,Minor
Tragedy,Major
Tragedy,Minor
Tragedy,Major
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Major
Comedy,Major
Comedy,Major
Comedy,Major
Comedy,Major
Comedy,Major
Tragedy,Minor
Tragedy,Minor
Tragedy,Major
Tragedy,Minor
Comedy,Minor
Tragedy,Minor
Comedy,Major
Comedy,Major
Comedy,Major
Comedy,Minor
Tragedy,Major
Comedy,Major
Comedy,Minor
Comedy,Minor
Comedy,Minor
Tragedy,Major
Comedy,Minor
Comedy,Major
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Tragedy,Minor
Comedy,Major
Tragedy,Major
Tragedy,Minor
Tragedy,Minor
Tragedy,Major
Tragedy,Major
Comedy,Major
Tragedy,Major
Tragedy,Minor
Tragedy,Minor
Comedy,Minor
Comedy,Major
Tragedy,Minor
Comedy,Major
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Major
Tragedy,Minor
Tragedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Tragedy,Major
Tragedy,Minor
Comedy,Minor
Tragedy,Major
Comedy,Minor
Comedy,Minor
Tragedy,Minor
Comedy,Minor
Tragedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Minor
Tragedy,Major
Comedy,Major
Comedy,Major
Comedy,Minor
Tragedy,Major
Tragedy,Minor
Comedy,Minor
Comedy,Minor
Tragedy,Minor
Tragedy,Major
Tragedy,Minor
Tragedy,Major
Tragedy,Minor
Tragedy,Major
Tragedy,Minor
Tragedy,Minor
Tragedy,Minor
Tragedy,Minor
Comedy,Minor
Comedy,Minor
Comedy,Major
Comedy,Major
Comedy,Minor
Tragedy,Minor
Tragedy,Minor
